bridge_tag,questions,construct,crosswalk_status,primary_outcome,secondary_outcome,outcome_confidence,ambiguity,gated_only,reason
"CAREER_SUSTAINABILITY",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_TIMELINE",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_TRADEOFF",40,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CAREER_TRANSITION",25,"CAREER_CLARITY",HIGH_CONFIDENCE,"career_clarity","",0.85,0,false,"HIGH construct CAREER_CLARITY → 1 model(s); primary career_clarity"
"CHARACTER_DEVELOPMENT",40,"",UNMAPPED,"","",0,0,false,"no construct (UNMAPPED) → no outcome model"
"CLASSROOM_ADAPTATION",40,"",UNMAPPED,"","",0,0,false,"no construct (UNMAPPED) → no outcome model"
"CLASSROOM_ENGAGEMENT",75,"",UNMAPPED,"","",0,0,false,"no construct (UNMAPPED) → no outcome model"
"COGNITIVE_AWARENESS",25,"CRITICAL_THINKING",HIGH_CONFIDENCE,"learning_effectiveness","decision_quality",0.425,0.5,false,"HIGH construct CRITICAL_THINKING → 2 model(s); primary learning_effectiveness"
"COGNITIVE_DEVELOPMENT",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,"learning_effectiveness","decision_quality",0.425,0.5,false,"HIGH construct CRITICAL_THINKING → 2 model(s); primary learning_effectiveness"
"COGNITIVE_EMOTIONAL",150,"",REVIEW_REQUIRED,"confidence_stability","learning_effectiveness",0.167,0.667,false,"REVIEW candidates → 3 model(s); primary confidence_stability"
"COGNITIVE_MAPPING",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,"learning_effectiveness","decision_quality",0.425,0.5,false,"HIGH construct CRITICAL_THINKING → 2 model(s); primary learning_effectiveness"
"COGNITIVE_REFLECTION",40,"CRITICAL_THINKING",HIGH_CONFIDENCE,"learning_effectiveness","decision_quality",0.425,0.5,false,"HIGH construct CRITICAL_THINKING → 2 model(s); primary learning_effectiveness"
"COGNITIVE_SELF",50,"CRITICAL_THINKING",HIGH_CONFIDENCE,"learning_effectiveness","decision_quality",0.425,0.5,false,"HIGH construct CRITICAL_THINKING → 2 model(s); primary learning_effectiveness"
"COGNITIVE_SKILLS",200,"CRITICAL_THINKING",HIGH_CONFIDENCE,"learning_effectiveness","decision_quality",0.425,0.5,false,"HIGH construct CRITICAL_THINKING → 2 model(s); primary learning_effectiveness"
