family_name,concern_count,primary_concern_ids
Learning Family 10,3,CONCERN_SOC_1957|CONCERN_STR_318|CONCERN_THI_1672
Conversations Family,2,CONCERN_ACA_1108|CONCERN_EMO_577
Distribution Family,2,CONCERN_FAC_1218|CONCERN_ACA_1162
Decline Family,2,CONCERN_ACA_1217|CONCERN_EMO_1255
Adaptability Family,2,CONCERN_ACA_1224|CONCERN_DIS_1186
Practices Family,2,CONCERN_ACA_1232|CONCERN_EMO_1169
Emotional Family 2,2,CONCERN_ACA_1249|CONCERN_MOT_1289
Conceptual Family,2,CONCERN_ACA_1351|CONCERN_COM_1710
Negative Family,2,CONCERN_ACA_137|CONCERN_SOC_1922
Focus Family,2,CONCERN_DIS_2208|CONCERN_ACA_146
Habits Family,2,CONCERN_ACA_1616|CONCERN_EMO_1463
Initiative Family,2,CONCERN_ACA_1687|CONCERN_DIS_1945
Mathematical Family,2,CONCERN_ACA_1698|CONCERN_COM_1950
Development Family,2,CONCERN_ACA_1700|CONCERN_ACA_1948
Problems Family,2,CONCERN_ACA_1727|CONCERN_EXA_2020
Academic Family,2,CONCERN_ACA_1931|CONCERN_PUR_1647
Subjects Family 2,2,CONCERN_ACA_1978|CONCERN_COM_1703
Breaking Family,2,CONCERN_ACA_1982|CONCERN_ACA_2470
Materials Family,2,CONCERN_ACA_1995|CONCERN_ACA_2483
Career Family 2,2,CONCERN_ACA_207|CONCERN_ACA_2430
Avoid Family,2,CONCERN_CON_2118|CONCERN_ACA_2211
Career Family 3,2,CONCERN_HOL_201|CONCERN_ACA_234
Step Family,2,CONCERN_MOT_2236|CONCERN_ACA_2340
Career Family 4,2,CONCERN_CAR_1561|CONCERN_ACA_242
Detached Family,2,CONCERN_ACA_2431|CONCERN_CON_1867
From Family,2,CONCERN_EMP_373|CONCERN_ACA_2440
Avoiding Family,2,CONCERN_ACA_2445|CONCERN_HEL_2304
Preferences Family,2,CONCERN_ACA_2446|CONCERN_CAR_1583
Marks Family,2,CONCERN_CAR_1405|CONCERN_ACA_2447
Learning Family 4,2,CONCERN_ACA_269|CONCERN_EMO_706
Career Family 5,2,CONCERN_ACA_284|CONCERN_COM_67
Depth Family,2,CONCERN_ACA_326|CONCERN_FAC_1284
Career Family 7,2,CONCERN_ACA_580|CONCERN_STR_700
Studies Family,2,CONCERN_ACA_81|CONCERN_CON_1941
Pipelines Family,2,CONCERN_ACA_876|CONCERN_COL_786
Academic Family 6,2,CONCERN_HOL_1177|CONCERN_ADA_1287
Internship Family,2,CONCERN_ADA_1326|CONCERN_COM_8
Actions Family,2,CONCERN_ADA_1641|CONCERN_PER_1552
Academic Family 7,2,CONCERN_DOM_1|CONCERN_ADJ_12
Emotionally Family 2,2,CONCERN_ADJ_1919|CONCERN_EXA_1893
Avoiding Family 2,2,CONCERN_ADJ_2327|CONCERN_EXA_1912
Financial Family,2,CONCERN_CAR_1398|CONCERN_ASP_1575
Hidden Family,2,CONCERN_BEH_1293|CONCERN_DIS_2131
Taking Family,2,CONCERN_THI_1798|CONCERN_CAP_1422
Emotional Family 5,2,CONCERN_CAR_1115|CONCERN_LEA_619
Ecosystems Family,2,CONCERN_CAR_1306|CONCERN_LIF_1180
Communication Family,2,CONCERN_CAR_1319|CONCERN_SEL_1481
Collapse Family,2,CONCERN_CAR_1327|CONCERN_TEA_1164
Leadership Family 2,2,CONCERN_CAR_1329|CONCERN_COM_1245
Careers Family,2,CONCERN_CAR_1379|CONCERN_MOT_229
Confusion Family 2,2,CONCERN_CAR_1381|CONCERN_CAR_1563
Career Family 9,2,CONCERN_CAR_1384|CONCERN_CAR_205
Academic Family 8,2,CONCERN_CAR_228|CONCERN_FOU_2083
Career Family 10,2,CONCERN_CAR_235|CONCERN_CON_257
Interviews Family 2,2,CONCERN_CAR_362|CONCERN_LIF_30
Career Family 11,2,CONCERN_CAR_374|CONCERN_DIS_54
Expectations Family 2,2,CONCERN_CAR_483|CONCERN_SOC_127
Delays Family,2,CONCERN_CAR_486|CONCERN_COM_396
Beyond Family,2,CONCERN_CAR_497|CONCERN_EMO_397
Again Family,2,CONCERN_CAR_543|CONCERN_COM_971
Academic Family 9,2,CONCERN_CAR_60|CONCERN_LIF_670
Emotional Family 7,2,CONCERN_CAR_841|CONCERN_COL_911
Career Family 13,2,CONCERN_CAR_994|CONCERN_LIF_1044
Failures Family 2,2,CONCERN_CON_1490|CONCERN_COG_1605
Academic Family 10,2,CONCERN_COL_2198|CONCERN_EXA_1715
Assessments Family,2,CONCERN_COL_324|CONCERN_EXA_2195
Communication Family 3,2,CONCERN_COM_1949|CONCERN_CON_42
Different Family,2,CONCERN_FUT_1612|CONCERN_COM_2047
Academic Family 11,2,CONCERN_COM_2053|CONCERN_PER_1461
Accuracy Family 2,2,CONCERN_EXA_2209|CONCERN_COM_2066
Development Family 2,2,CONCERN_MOT_2276|CONCERN_COM_2151
Questions Family,2,CONCERN_COM_2261|CONCERN_STE_2025
Goal Family,2,CONCERN_COM_2270|CONCERN_EXA_1962
Linkedin Family,2,CONCERN_COM_25|CONCERN_CON_492
